GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022100006,86,1630567,Scottie Barnes,1610612761,Toronto Raptors,1,4,30,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-5,52,1,1,20211020,TOR,WAS
Shot Chart Detail,0022100006,235,1630567,Scottie Barnes,1610612761,Toronto Raptors,2,8,21,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,5,1,1,20211020,TOR,WAS
Shot Chart Detail,0022100006,430,1630567,Scottie Barnes,1610612761,Toronto Raptors,3,7,16,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,24,1,1,20211020,TOR,WAS
Shot Chart Detail,0022100006,465,1630567,Scottie Barnes,1610612761,Toronto Raptors,3,5,9,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,-7,1,1,20211020,TOR,WAS
Shot Chart Detail,0022100006,680,1630567,Scottie Barnes,1610612761,Toronto Raptors,4,2,30,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,-6,1,1,20211020,TOR,WAS
Shot Chart Detail,0022100020,51,1630567,Scottie Barnes,1610612761,Toronto Raptors,1,8,35,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,141,227,1,1,20211022,BOS,TOR
Shot Chart Detail,0022100020,78,1630567,Scottie Barnes,1610612761,Toronto Raptors,1,6,7,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,3,1,1,20211022,BOS,TOR
Shot Chart Detail,0022100020,113,1630567,Scottie Barnes,1610612761,Toronto Raptors,1,3,9,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,49,41,1,1,20211022,BOS,TOR
Shot Chart Detail,0022100020,214,1630567,Scottie Barnes,1610612761,Toronto Raptors,2,9,13,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-94,110,1,1,20211022,BOS,TOR
Shot Chart Detail,0022100020,269,1630567,Scottie Barnes,1610612761,Toronto Raptors,2,4,38,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,4,1,1,20211022,BOS,TOR
